DATE,DEXHKUS
2000-01-03,7.7765
2000-01-04,7.7775
2000-01-05,7.7780
2000-01-06,7.7785
2000-01-07,7.7783
2000-01-10,7.7785
2000-01-11,7.7785
2000-01-12,7.7787
2000-01-13,7.7788
2000-01-14,7.7789
2000-01-17,.
2000-01-18,7.7790
2000-01-19,7.7798
2000-01-20,7.7795
2000-01-21,7.7792
2000-01-24,7.7795
2000-01-25,7.7800
2000-01-26,7.7805
2000-01-27,7.7805
2000-01-28,7.7800
2000-01-31,7.7810
2000-02-01,7.7807
2000-02-02,7.7805
2000-02-03,7.7812
2000-02-04,7.7810
2000-02-07,7.7820
2000-02-08,7.7809
2000-02-09,7.7810
2000-02-10,7.7820
2000-02-11,7.7814
2000-02-14,7.7800
2000-02-15,7.7810
2000-02-16,7.7814
2000-02-17,7.7815
2000-02-18,7.7808
2000-02-21,.
2000-02-22,7.7825
2000-02-23,7.7826
2000-02-24,7.7830
2000-02-25,7.7830
2000-02-28,7.7830
2000-02-29,7.7833
2000-03-01,7.7824
2000-03-02,7.7825
2000-03-03,7.7833
2000-03-06,7.7835
2000-03-07,7.7840
2000-03-08,7.7845
2000-03-09,7.7842
2000-03-10,7.7848
2000-03-13,7.7842
2000-03-14,7.7845
2000-03-15,7.7847
2000-03-16,7.7846
2000-03-17,7.7849
2000-03-20,7.7855
2000-03-21,7.7855
2000-03-22,7.7858
2000-03-23,7.7858
2000-03-24,7.7845
2000-03-27,7.7855
2000-03-28,7.7850
2000-03-29,7.7865
2000-03-30,7.7866
2000-03-31,7.7867
2000-04-03,7.7868
2000-04-04,7.7863
2000-04-05,7.7864
2000-04-06,7.7870
2000-04-07,7.7878
2000-04-10,7.7875
2000-04-11,7.7870
2000-04-12,7.7878
2000-04-13,7.7879
2000-04-14,7.7880
2000-04-17,7.7882
2000-04-18,7.7885
2000-04-19,7.7886
2000-04-20,7.7888
2000-04-21,7.7887
2000-04-24,7.7890
2000-04-25,7.7885
2000-04-26,7.7890
2000-04-27,7.7890
2000-04-28,7.7890
2000-05-01,7.7890
2000-05-02,7.7895
2000-05-03,7.7900
2000-05-04,7.7900
2000-05-05,7.7898
2000-05-08,7.7893
2000-05-09,7.7899
2000-05-10,7.7898
2000-05-11,7.7898
2000-05-12,7.7900
2000-05-15,7.7895
2000-05-16,7.7902
2000-05-17,7.7910
2000-05-18,7.7915
2000-05-19,7.7915
2000-05-22,7.7918
2000-05-23,7.7920
2000-05-24,7.7919
2000-05-25,7.7920
2000-05-26,7.7922
2000-05-29,.
2000-05-30,7.7925
2000-05-31,7.7927
2000-06-01,7.7920
2000-06-02,7.7921
2000-06-05,7.7940
2000-06-06,7.7930
2000-06-07,7.7930
2000-06-08,7.7932
2000-06-09,7.7936
2000-06-12,7.7940
2000-06-13,7.7936
2000-06-14,7.7925
2000-06-15,7.7940
2000-06-16,7.7942
2000-06-19,7.7936
2000-06-20,7.7925
2000-06-21,7.7930
2000-06-22,7.7920
2000-06-23,7.7910
2000-06-26,7.7920
2000-06-27,7.7950
2000-06-28,7.7955
2000-06-29,7.7953
2000-06-30,7.7960
2000-07-03,7.7960
2000-07-04,.
2000-07-05,7.7962
2000-07-06,7.7964
2000-07-07,7.7968
2000-07-10,7.7965
2000-07-11,7.7961
2000-07-12,7.7960
2000-07-13,7.7960
2000-07-14,7.7965
2000-07-17,7.7973
2000-07-18,7.7968
2000-07-19,7.7970
2000-07-20,7.7970
2000-07-21,7.7965
2000-07-24,7.7960
2000-07-25,7.7971
2000-07-26,7.7981
2000-07-27,7.7975
2000-07-28,7.7987
2000-07-31,7.7988
2000-08-01,7.7993
2000-08-02,7.7990
2000-08-03,7.7992
2000-08-04,7.7989
2000-08-07,7.7985
2000-08-08,7.7985
2000-08-09,7.7993
2000-08-10,7.7995
2000-08-11,7.7998
2000-08-14,7.8003
2000-08-15,7.7998
2000-08-16,7.7998
2000-08-17,7.7988
2000-08-18,7.7990
2000-08-21,7.7992
2000-08-22,7.7992
2000-08-23,7.8000
2000-08-24,7.8000
2000-08-25,7.8000
2000-08-28,7.8000
2000-08-29,7.8000
2000-08-30,7.8008
2000-08-31,7.7992
2000-09-01,7.7995
2000-09-04,.
2000-09-05,7.7989
2000-09-06,7.7985
2000-09-07,7.7995
2000-09-08,7.7985
2000-09-11,7.7987
2000-09-12,7.7987
2000-09-13,7.7985
2000-09-14,7.7988
2000-09-15,7.7973
2000-09-18,7.7972
2000-09-19,7.7986
2000-09-20,7.7990
2000-09-21,7.7993
2000-09-22,7.7983
2000-09-25,7.7986
2000-09-26,7.7990
2000-09-27,7.7983
2000-09-28,7.7978
2000-09-29,7.7971
2000-10-02,7.7970
2000-10-03,7.7942
2000-10-04,7.7940
2000-10-05,7.7963
2000-10-06,7.7960
2000-10-09,.
2000-10-10,7.7970
2000-10-11,7.7985
2000-10-12,7.7968
2000-10-13,7.7975
2000-10-16,7.7980
2000-10-17,7.7975
2000-10-18,7.7980
2000-10-19,7.7970
2000-10-20,7.7975
2000-10-23,7.7987
2000-10-24,7.7991
2000-10-25,7.7990
2000-10-26,7.8001
2000-10-27,7.7995
2000-10-30,7.7997
2000-10-31,7.7995
2000-11-01,7.7970
2000-11-02,7.7951
2000-11-03,7.7974
2000-11-06,7.7982
2000-11-07,7.7985
2000-11-08,7.7990
2000-11-09,7.7990
2000-11-10,7.7992
2000-11-13,7.7991
2000-11-14,7.7995
2000-11-15,7.7995
2000-11-16,7.7990
2000-11-17,7.7998
2000-11-20,7.7999
2000-11-21,7.7999
2000-11-22,7.8000
2000-11-23,.
2000-11-24,7.8000
2000-11-27,7.8000
2000-11-28,7.8005
2000-11-29,7.7999
2000-11-30,7.8000
2000-12-01,7.8001
2000-12-04,7.7995
2000-12-05,7.8000
2000-12-06,7.7974
2000-12-07,7.7975
2000-12-08,7.7963
2000-12-11,7.7969
2000-12-12,7.7974
2000-12-13,7.8003
2000-12-14,7.8003
2000-12-15,7.8000
2000-12-18,7.8000
2000-12-19,7.7997
2000-12-20,7.8002
2000-12-21,7.7993
2000-12-22,7.7999
2000-12-25,.
2000-12-26,7.7993
2000-12-27,7.7988
2000-12-28,7.7990
2000-12-29,7.7999
2001-01-01,.
2001-01-02,7.8000
2001-01-03,7.8000
2001-01-04,7.7998
2001-01-05,7.7993
2001-01-08,7.7998
2001-01-09,7.8000
2001-01-10,7.8000
2001-01-11,7.8000
2001-01-12,7.8001
2001-01-15,.
2001-01-16,7.7997
2001-01-17,7.8000
2001-01-18,7.7997
2001-01-19,7.7997
2001-01-22,7.7997
2001-01-23,7.7996
2001-01-24,7.8000
2001-01-25,7.7997
2001-01-26,7.7995
2001-01-29,7.7999
2001-01-30,7.7995
2001-01-31,7.7995
2001-02-01,7.7990
2001-02-02,7.7993
2001-02-05,7.7994
2001-02-06,7.8000
2001-02-07,7.8000
2001-02-08,7.8000
2001-02-09,7.7998
2001-02-12,7.8000
2001-02-13,7.8000
2001-02-14,7.7999
2001-02-15,7.8000
2001-02-16,7.8000
2001-02-19,.
2001-02-20,7.8000
2001-02-21,7.8000
2001-02-22,7.8000
2001-02-23,7.7999
2001-02-26,7.7999
2001-02-27,7.8000
2001-02-28,7.8000
2001-03-01,7.8000
2001-03-02,7.8000
2001-03-05,7.8002
2001-03-06,7.8002
2001-03-07,7.8001
2001-03-08,7.8000
2001-03-09,7.7997
2001-03-12,7.7999
2001-03-13,7.7998
2001-03-14,7.7999
2001-03-15,7.8001
2001-03-16,7.7997
2001-03-19,7.7995
2001-03-20,7.7996
2001-03-21,7.7995
2001-03-22,7.7994
2001-03-23,7.7998
2001-03-26,7.8000
2001-03-27,7.8000
2001-03-28,7.8003
2001-03-29,7.7998
2001-03-30,7.8003
2001-04-02,7.7983
2001-04-03,7.7990
2001-04-04,7.7986
2001-04-05,7.7990
2001-04-06,7.7987
2001-04-09,7.7990
2001-04-10,7.8000
2001-04-11,7.7990
2001-04-12,7.7994
2001-04-13,7.7994
2001-04-16,7.7995
2001-04-17,7.8000
2001-04-18,7.8000
2001-04-19,7.7995
2001-04-20,7.7998
2001-04-23,7.7991
2001-04-24,7.7991
2001-04-25,7.8000
2001-04-26,7.7999
2001-04-27,7.7993
2001-04-30,7.7990
2001-05-01,7.7993
2001-05-02,7.7998
2001-05-03,7.7991
2001-05-04,7.7995
2001-05-07,7.7995
2001-05-08,7.7997
2001-05-09,7.8000
2001-05-10,7.8000
2001-05-11,7.7999
2001-05-14,7.8000
2001-05-15,7.8000
2001-05-16,7.8000
2001-05-17,7.8000
2001-05-18,7.8000
2001-05-21,7.7998
2001-05-22,7.8003
2001-05-23,7.7999
2001-05-24,7.8000
2001-05-25,7.8002
2001-05-28,.
2001-05-29,7.7999
2001-05-30,7.8000
2001-05-31,7.7998
2001-06-01,7.8000
2001-06-04,7.8000
2001-06-05,7.7998
2001-06-06,7.7998
2001-06-07,7.8000
2001-06-08,7.7994
2001-06-11,7.7990
2001-06-12,7.7991
2001-06-13,7.7990
2001-06-14,7.7992
2001-06-15,7.7995
2001-06-18,7.7998
2001-06-19,7.7999
2001-06-20,7.7998
2001-06-21,7.7997
2001-06-22,7.7998
2001-06-25,7.7998
2001-06-26,7.8000
2001-06-27,7.7998
2001-06-28,7.7998
2001-06-29,7.8000
2001-07-02,7.8000
2001-07-03,7.8000
2001-07-04,.
2001-07-05,7.8003
2001-07-06,7.8000
2001-07-09,7.8000
2001-07-10,7.7999
2001-07-11,7.8000
2001-07-12,7.8000
2001-07-13,7.7999
2001-07-16,7.8000
2001-07-17,7.8000
2001-07-18,7.8000
2001-07-19,7.7999
2001-07-20,7.7998
2001-07-23,7.7998
2001-07-24,7.7998
2001-07-25,7.7999
2001-07-26,7.7998
2001-07-27,7.7996
2001-07-30,7.7998
2001-07-31,7.7997
2001-08-01,7.7998
2001-08-02,7.7995
2001-08-03,7.7992
2001-08-06,7.7992
2001-08-07,7.7995
2001-08-08,7.7995
2001-08-09,7.7997
2001-08-10,7.7992
2001-08-13,7.7996
2001-08-14,7.7995
2001-08-15,7.7997
2001-08-16,7.7998
2001-08-17,7.7997
2001-08-20,7.7997
2001-08-21,7.7999
2001-08-22,7.7997
2001-08-23,7.7998
2001-08-24,7.7999
2001-08-27,7.7999
2001-08-28,7.8000
2001-08-29,7.7999
2001-08-30,7.7999
2001-08-31,7.7998
2001-09-03,.
2001-09-04,7.7998
2001-09-05,7.7999
2001-09-06,7.8000
2001-09-07,7.8001
2001-09-10,7.7998
2001-09-11,.
2001-09-12,7.7984
2001-09-13,7.7993
2001-09-14,7.7996
2001-09-17,7.7993
2001-09-18,7.7994
2001-09-19,7.7987
2001-09-20,7.8000
2001-09-21,7.8003
2001-09-24,7.8001
2001-09-25,7.8001
2001-09-26,7.7999
2001-09-27,7.7998
2001-09-28,7.7996
2001-10-01,7.7992
2001-10-02,7.7993
2001-10-03,7.7995
2001-10-04,7.7998
2001-10-05,7.7999
2001-10-08,.
2001-10-09,7.7999
2001-10-10,7.8000
2001-10-11,7.7999
2001-10-12,7.8000
2001-10-15,7.8000
2001-10-16,7.8001
2001-10-17,7.8001
2001-10-18,7.8002
2001-10-19,7.7990
2001-10-22,7.7990
2001-10-23,7.8000
2001-10-24,7.8000
2001-10-25,7.8003
2001-10-26,7.8003
2001-10-29,7.8000
2001-10-30,7.8001
2001-10-31,7.8002
2001-11-01,7.8003
2001-11-02,7.8001
2001-11-05,7.8001
2001-11-06,7.8001
2001-11-07,7.8000
2001-11-08,7.8000
2001-11-09,7.8000
2001-11-12,.
2001-11-13,7.8001
2001-11-14,7.8004
2001-11-15,7.8000
2001-11-16,7.7997
2001-11-19,7.7993
2001-11-20,7.7991
2001-11-21,7.7990
2001-11-22,.
2001-11-23,7.8000
2001-11-26,7.7992
2001-11-27,7.7992
2001-11-28,7.7986
2001-11-29,7.7985
2001-11-30,7.7988
2001-12-03,7.7990
2001-12-04,7.7995
2001-12-05,7.7998
2001-12-06,7.7997
2001-12-07,7.7992
2001-12-10,7.7994
2001-12-11,7.7996
2001-12-12,7.7998
2001-12-13,7.7999
2001-12-14,7.7999
2001-12-17,7.7997
2001-12-18,7.7995
2001-12-19,7.7988
2001-12-20,7.7985
2001-12-21,7.7970
2001-12-24,7.7980
2001-12-25,.
2001-12-26,7.7970
2001-12-27,7.7975
2001-12-28,7.7973
2001-12-31,7.7980
2002-01-01,.
2002-01-02,7.7980
2002-01-03,7.7985
2002-01-04,7.7985
2002-01-07,7.7990
2002-01-08,7.7991
2002-01-09,7.7987
2002-01-10,7.7985
2002-01-11,7.7987
2002-01-14,7.7988
2002-01-15,7.7990
2002-01-16,7.7990
2002-01-17,7.7985
2002-01-18,7.7991
2002-01-21,.
2002-01-22,7.7995
2002-01-23,7.7995
2002-01-24,7.7995
2002-01-25,7.8000
2002-01-28,7.7970
2002-01-29,7.7995
2002-01-30,7.7998
2002-01-31,7.7995
2002-02-01,7.7998
2002-02-04,7.7999
2002-02-05,7.7998
2002-02-06,7.7998
2002-02-07,7.7996
2002-02-08,7.7993
2002-02-11,7.7997
2002-02-12,7.7998
2002-02-13,7.7997
2002-02-14,7.7998
2002-02-15,7.7995
2002-02-18,.
2002-02-19,7.7994
2002-02-20,7.7995
2002-02-21,7.7994
2002-02-22,7.7994
2002-02-25,7.7995
2002-02-26,7.7994
2002-02-27,7.7991
2002-02-28,7.7995
2002-03-01,7.7998
2002-03-04,7.7995
2002-03-05,7.7997
2002-03-06,7.7998
2002-03-07,7.7997
2002-03-08,7.8000
2002-03-11,7.7995
2002-03-12,7.7999
2002-03-13,7.7999
2002-03-14,7.7998
2002-03-15,7.7996
2002-03-18,7.7994
2002-03-19,7.7994
2002-03-20,7.7997
2002-03-21,7.7998
2002-03-22,7.7997
2002-03-25,7.7998
2002-03-26,7.7994
2002-03-27,7.7993
2002-03-28,7.7999
2002-03-29,7.8000
2002-04-01,7.7996
2002-04-02,7.7996
2002-04-03,7.7997
2002-04-04,7.7996
2002-04-05,7.7997
2002-04-08,7.7998
2002-04-09,7.7998
2002-04-10,7.7997
2002-04-11,7.7999
2002-04-12,7.7997
2002-04-15,7.8095
2002-04-16,7.7995
2002-04-17,7.8002
2002-04-18,7.7995
2002-04-19,7.7995
2002-04-22,7.7995
2002-04-23,7.7995
2002-04-24,7.7993
2002-04-25,7.7993
2002-04-26,7.7994
2002-04-29,7.7995
2002-04-30,7.7992
2002-05-01,7.7991
2002-05-02,7.7992
2002-05-03,7.7992
2002-05-06,7.7993
2002-05-07,7.7994
2002-05-08,7.7990
2002-05-09,7.7994
2002-05-10,7.7994
2002-05-13,7.7992
2002-05-14,7.7993
2002-05-15,7.7992
2002-05-16,7.7990
2002-05-17,7.7990
2002-05-20,7.7990
2002-05-21,7.7994
2002-05-22,7.7997
2002-05-23,7.8001
2002-05-24,7.7999
2002-05-27,.
2002-05-28,7.8000
2002-05-29,7.7999
2002-05-30,7.7999
2002-05-31,7.8000
2002-06-03,7.8000
2002-06-04,7.8000
2002-06-05,7.7998
2002-06-06,7.8001
2002-06-07,7.7998
2002-06-10,7.8000
2002-06-11,7.7999
2002-06-12,7.7993
2002-06-13,7.8000
2002-06-14,7.8000
2002-06-17,7.8000
2002-06-18,7.8005
2002-06-19,7.8000
2002-06-20,7.8000
2002-06-21,7.8000
2002-06-24,7.8000
2002-06-25,7.7999
2002-06-26,7.8000
2002-06-27,7.8000
2002-06-28,7.8000
2002-07-01,7.8005
2002-07-02,7.8000
2002-07-03,7.8000
2002-07-04,.
2002-07-05,7.8000
2002-07-08,7.8000
2002-07-09,7.8000
2002-07-10,7.8000
2002-07-11,7.8000
2002-07-12,7.8000
2002-07-15,7.8000
2002-07-16,7.8000
2002-07-17,7.8000
2002-07-18,7.8000
2002-07-19,7.8000
2002-07-22,7.8000
2002-07-23,7.8000
2002-07-24,7.8000
2002-07-25,7.8000
2002-07-26,7.8000
2002-07-29,7.7999
2002-07-30,7.8000
2002-07-31,7.8000
2002-08-01,7.8000
2002-08-02,7.8000
2002-08-05,7.8000
2002-08-06,7.8000
2002-08-07,7.8000
2002-08-08,7.8000
2002-08-09,7.8000
2002-08-12,7.8000
2002-08-13,7.8000
2002-08-14,7.8000
2002-08-15,7.8000
2002-08-16,7.8000
2002-08-19,7.8000
2002-08-20,7.8000
2002-08-21,7.8000
2002-08-22,7.8000
2002-08-23,7.8000
2002-08-26,7.8000
2002-08-27,7.8005
2002-08-28,7.8001
2002-08-29,7.8000
2002-08-30,7.8000
2002-09-02,.
2002-09-03,7.8000
2002-09-04,7.8000
2002-09-05,7.8000
2002-09-06,7.8000
2002-09-09,7.8000
2002-09-10,7.8000
2002-09-11,7.8000
2002-09-12,7.7997
2002-09-13,7.8000
2002-09-16,7.7996
2002-09-17,7.7996
2002-09-18,7.7999
2002-09-19,7.7998
2002-09-20,7.8000
2002-09-23,7.7999
2002-09-24,7.7997
2002-09-25,7.8000
2002-09-26,7.7998
2002-09-27,7.7997
2002-09-30,7.7998
2002-10-01,7.7995
2002-10-02,7.7997
2002-10-03,7.7999
2002-10-04,7.7998
2002-10-07,7.7998
2002-10-08,7.8000
2002-10-09,7.7998
2002-10-10,7.7998
2002-10-11,7.8000
2002-10-14,.
2002-10-15,7.8000
2002-10-16,7.7994
2002-10-17,7.7993
2002-10-18,7.7991
2002-10-21,7.7990
2002-10-22,7.7991
2002-10-23,7.7992
2002-10-24,7.7991
2002-10-25,7.7992
2002-10-28,7.7990
2002-10-29,7.7997
2002-10-30,7.7995
2002-10-31,7.7995
2002-11-01,7.7998
2002-11-04,7.7993
2002-11-05,7.7992
2002-11-06,7.7993
2002-11-07,7.7993
2002-11-08,7.7995
2002-11-11,.
2002-11-12,7.7997
2002-11-13,7.7994
2002-11-14,7.7997
2002-11-15,7.7997
2002-11-18,7.8000
2002-11-19,7.7995
2002-11-20,7.7996
2002-11-21,7.7995
2002-11-22,7.7990
2002-11-25,7.7990
2002-11-26,7.7987
2002-11-27,7.7990
2002-11-28,.
2002-11-29,7.7988
2002-12-02,7.7988
2002-12-03,7.7987
2002-12-04,7.7990
2002-12-05,7.7990
2002-12-06,7.7985
2002-12-09,7.7989
2002-12-10,7.7990
2002-12-11,7.7990
2002-12-12,7.7990
2002-12-13,7.7989
2002-12-16,7.7990
2002-12-17,7.7986
2002-12-18,7.7980
2002-12-19,7.7980
2002-12-20,7.7985
2002-12-23,7.7986
2002-12-24,7.7990
2002-12-25,.
2002-12-26,7.7989
2002-12-27,7.7990
2002-12-30,7.7992
2002-12-31,7.7988
2003-01-01,.
2003-01-02,7.7988
2003-01-03,7.7990
2003-01-06,7.7993
2003-01-07,7.7999
2003-01-08,7.7997
2003-01-09,7.7993
2003-01-10,7.7993
2003-01-13,7.7990
2003-01-14,7.7991
2003-01-15,7.7990
2003-01-16,7.7990
2003-01-17,7.7992
2003-01-20,.
2003-01-21,7.7995
2003-01-22,7.7994
2003-01-23,7.7994
2003-01-24,7.7996
2003-01-27,7.8000
2003-01-28,7.7996
2003-01-29,7.8000
2003-01-30,7.8000
2003-01-31,7.8001
2003-02-03,7.8000
2003-02-04,7.8000
2003-02-05,7.7997
2003-02-06,7.7998
2003-02-07,7.7996
2003-02-10,7.7998
2003-02-11,7.7995
2003-02-12,7.7997
2003-02-13,7.8000
2003-02-14,7.7995
2003-02-17,.
2003-02-18,7.7998
2003-02-19,7.7997
2003-02-20,7.7995
2003-02-21,7.7991
2003-02-24,7.7992
2003-02-25,7.7989
2003-02-26,7.7990
2003-02-27,7.7991
2003-02-28,7.7991
2003-03-03,7.7987
2003-03-04,7.7992
2003-03-05,7.7992
2003-03-06,7.7990
2003-03-07,7.7988
2003-03-10,7.7991
2003-03-11,7.7991
2003-03-12,7.7991
2003-03-13,7.7990
2003-03-14,7.7992
2003-03-17,7.7993
2003-03-18,7.7989
2003-03-19,7.7992
2003-03-20,7.7990
2003-03-21,7.7990
2003-03-24,7.7990
2003-03-25,7.7992
2003-03-26,7.7992
2003-03-27,7.7993
2003-03-28,7.7993
2003-03-31,7.7995
2003-04-01,7.7995
2003-04-02,7.7993
2003-04-03,7.7995
2003-04-04,7.7996
2003-04-07,7.7997
2003-04-08,7.7996
2003-04-09,7.7997
2003-04-10,7.7997
2003-04-11,7.7996
2003-04-14,7.7997
2003-04-15,7.7996
2003-04-16,7.7997
2003-04-17,7.7997
2003-04-18,7.7997
2003-04-21,7.7997
2003-04-22,7.7997
2003-04-23,7.7997
2003-04-24,7.7998
2003-04-25,7.7998
2003-04-28,7.7993
2003-04-29,7.7994
2003-04-30,7.7991
2003-05-01,7.7993
2003-05-02,7.7993
2003-05-05,7.7993
2003-05-06,7.7991
2003-05-07,7.7992
2003-05-08,7.7990
2003-05-09,7.7991
2003-05-12,7.7993
2003-05-13,7.7993
2003-05-14,7.7988
2003-05-15,7.7995
2003-05-16,7.7994
2003-05-19,7.7990
2003-05-20,7.7991
2003-05-21,7.7992
2003-05-22,7.7991
2003-05-23,7.7990
2003-05-26,.
2003-05-27,7.7988
2003-05-28,7.7987
2003-05-29,7.7985
2003-05-30,7.7987
2003-06-02,7.7990
2003-06-03,7.7987
2003-06-04,7.7988
2003-06-05,7.7990
2003-06-06,7.7987
2003-06-09,7.7983
2003-06-10,7.7988
2003-06-11,7.7988
2003-06-12,7.7993
2003-06-13,7.7990
2003-06-16,7.7991
2003-06-17,7.7990
2003-06-18,7.7989
2003-06-19,7.7993
2003-06-20,7.7992
2003-06-23,7.7988
2003-06-24,7.7988
2003-06-25,7.7984
2003-06-26,7.7986
2003-06-27,7.7980
2003-06-30,7.7984
2003-07-01,7.7984
2003-07-02,7.7984
2003-07-03,7.7983
2003-07-04,.
2003-07-07,7.7983
2003-07-08,7.7989
2003-07-09,7.7988
2003-07-10,7.7992
2003-07-11,7.7993
2003-07-14,7.7998
2003-07-15,7.7995
2003-07-16,7.7998
2003-07-17,7.7997
2003-07-18,7.7995
2003-07-21,7.7995
2003-07-22,7.7993
2003-07-23,7.7994
2003-07-24,7.7994
2003-07-25,7.7997
2003-07-28,7.7993
2003-07-29,7.7995
2003-07-30,7.7992
2003-07-31,7.7990
2003-08-01,7.7993
2003-08-04,7.7992
2003-08-05,7.7995
2003-08-06,7.7996
2003-08-07,7.7998
2003-08-08,7.7998
2003-08-11,7.7995
2003-08-12,7.7995
2003-08-13,7.7995
2003-08-14,7.7994
2003-08-15,7.7993
2003-08-18,7.7995
2003-08-19,7.7989
2003-08-20,7.7987
2003-08-21,7.7988
2003-08-22,7.7987
2003-08-25,7.7990
2003-08-26,7.7994
2003-08-27,7.7993
2003-08-28,7.7995
2003-08-29,7.7995
2003-09-01,.
2003-09-02,7.7995
2003-09-03,7.7995
2003-09-04,7.7994
2003-09-05,7.7995
2003-09-08,7.7999
2003-09-09,7.7995
2003-09-10,7.7994
2003-09-11,7.7995
2003-09-12,7.7993
2003-09-15,7.7993
2003-09-16,7.7996
2003-09-17,7.7994
2003-09-18,7.7994
2003-09-19,7.7988
2003-09-22,7.7795
2003-09-23,7.7444
2003-09-24,7.7600
2003-09-25,7.7600
2003-09-26,7.7510
2003-09-29,7.7530
2003-09-30,7.7445
2003-10-01,7.7395
2003-10-02,7.7310
2003-10-03,7.7110
2003-10-06,7.7085
2003-10-07,7.7125
2003-10-08,7.7345
2003-10-09,7.7285
2003-10-10,7.7325
2003-10-13,.
2003-10-14,7.7495
2003-10-15,7.7424
2003-10-16,7.7415
2003-10-17,7.7445
2003-10-20,7.7495
2003-10-21,7.7530
2003-10-22,7.7520
2003-10-23,7.7530
2003-10-24,7.7536
2003-10-27,7.7541
2003-10-28,7.7578
2003-10-29,7.7595
2003-10-30,7.7625
2003-10-31,7.7684
2003-11-03,7.7673
2003-11-04,7.7677
2003-11-05,7.7685
2003-11-06,7.7690
2003-11-07,7.7692
2003-11-10,7.7475
2003-11-11,.
2003-11-12,7.7623
2003-11-13,7.7618
2003-11-14,7.7550
2003-11-17,7.7640
2003-11-18,7.7580
2003-11-19,7.7600
2003-11-20,7.7615
2003-11-21,7.7640
2003-11-24,7.7675
2003-11-25,7.7690
2003-11-26,7.7675
2003-11-27,.
2003-11-28,7.7660
2003-12-01,7.7670
2003-12-02,7.7628
2003-12-03,7.7641
2003-12-04,7.7670
2003-12-05,7.7635
2003-12-08,7.7647
2003-12-09,7.7640
2003-12-10,7.7642
2003-12-11,7.7660
2003-12-12,7.7635
2003-12-15,7.7635
2003-12-16,7.7630
2003-12-17,7.7637
2003-12-18,7.7654
2003-12-19,7.7651
2003-12-22,7.7641
2003-12-23,7.7637
2003-12-24,7.7665
2003-12-25,.
2003-12-26,7.7655
2003-12-29,7.7635
2003-12-30,7.7645
2003-12-31,7.7640
2004-01-01,.
2004-01-02,7.7645
2004-01-05,7.7635
2004-01-06,7.7633
2004-01-07,7.7638
2004-01-08,7.7635
2004-01-09,7.7633
2004-01-12,7.7632
2004-01-13,7.7644
2004-01-14,7.7642
2004-01-15,7.7635
2004-01-16,7.7665
2004-01-19,.
2004-01-20,7.7700
2004-01-21,7.7675
2004-01-22,7.7663
2004-01-23,7.7665
2004-01-26,7.7670
2004-01-27,7.7644
2004-01-28,7.7680
2004-01-29,7.7750
2004-01-30,7.7775
2004-02-02,7.7767
2004-02-03,7.7743
2004-02-04,7.7776
2004-02-05,7.7738
2004-02-06,7.7735
2004-02-09,7.7686
2004-02-10,7.7692
2004-02-11,7.7705
2004-02-12,7.7715
2004-02-13,7.7710
2004-02-16,.
2004-02-17,7.7703
2004-02-18,7.7715
2004-02-19,7.7745
2004-02-20,7.7751
2004-02-23,7.7755
2004-02-24,7.7780
2004-02-25,7.7810
